Artifact Type,Artifact Volume,Age (ka),Error,Reference
Perforated Nassarius kraussianus shell,1,~43000,N/A,Wadley (2015) citing d'Errico et al. (2012)
Notched bone,1,~60000,N/A,Wadley (2015) citing Marshack (1978); d'Errico et al. (2012)
Notched bone,2,~43000,N/A,Wadley (2015) citing Marshack (1978); d'Errico et al. (2012)
Notched bone,1,~42500,N/A,Wadley (2015) citing Marshack (1978); d'Errico et al. (2012)
Perforated Conus seashell,1,~74000,N/A,Wadley (2015) citing Beaumont (1980)
Lithic blanks (> 2 cm),1218,Mixed,Approximate,Blackwell et al. (2018)
Lithic chips (< 2 cm),3527,Mixed,Approximate,Blackwell et al. (2018)
Identified woody taxa charcoal fragments,186,~155000,Approximate,Blackwell et al. (2018)
Identified woody taxa charcoal fragments,284,~144000 - 161000,Approximate,Blackwell et al. (2018)
Faunal remains (Total NISP),1424,~38000,Approximate,Collins (2016)
Faunal remains (Ungulates only NISP),1074,~38000,Approximate,Collins (2016)
Incomplete and complete ostrich eggshell beads (Ngwavuma levels),17,~41000 - 43000,Range,Beaumont & Bednarik (2013)
Perforated Nassarius kraussianus seashell beads (Stratum 1WA),3,~43000,Approximate,Beaumont & Bednarik (2013)
Pieces of a single incised wooden stick,4,~24000,N/A,Beaumont & Bednarik (2013)
Notched rib fragments ( Ngwavuma levels),2,~41000 - 43000,Range,Beaumont & Bednarik (2013)
Broken baboon fibula with 29 notches,1,~41000,Approximate,Beaumont & Bednarik (2013)
Broken rib fragment with 12 notches,1,~55000 - 69000,Range,Beaumont & Bednarik (2013)
