Layer,Lab Sample,Age BP,Error,Max Error Allowed,>10 %,Reference,,calBP,Probability (%),calBP,Probability (%),calBP,Probability (%),calBP,Probability (%),,oldestBP,youngestBP
1a/b,Pta1318,480,45,48,N,Butzer et al. (1978),,548 - 441,84.3,366 - 328,11.2,,,,,,548,328
1a,Pta-703,500,45,50,N,Butzer et al. (1978),,552 - 447,91.4,355 - 336,4.1,,,,,,552,336
1b,Pta-506,2010,50,201,N,Butzer et al. (1978),,2050 - 2026,1.8,2020 - 1816,91.8,1770 - 1750,1.9,,,,2050,1750
1b,Pta-721,13300,150,1330,N,Butzer et al. (1978),,16400 - 15500,95.4,,,,,,,,16400,15500
1b,LJ-(?),28500,1800,2850,N,Butzer et al. (1978),,38862 - 29795,95.4,,,,,,,,38862,29795
2,LJ-2892,33000,2000,3300,N,Butzer et al. (1978),,42469 - 34256,95.4,,,,,,,,42469,34256
3,Pta-424,35700,1100,3570,N,Butzer et al. (1978),,42425 - 38686,95.4,,,,,,,,42425,38686
3,Pta-423,36100,900,3610,N,Butzer et al. (1978),,42265 - 39637,95.4,,,,,,,,42265,39637
3,Pta-422,36800,1000,3680,N,Butzer et al. (1978),,42691 - 39996,95.4,,,,,,,,42691,39996
3,Pta-446,37500,1200,3750,N,Butzer et al. (1978),,44007 - 40375,95.4,,,,,,,,44007,40375
2,Pta-704,38600,1500,3860,N,Butzer et al. (1978),,45540 - 40849,95.4,,,,,,,,45540,40849
8,Pta-719,42000,3000,4200,N,Butzer et al. (1978),,54837 - 53525,4.7,52700 - 42283,90.8,,,,,,54837,42283
8,Pta-719,42000,2200,4200,N,Butzer et al. (1978),,52262 - 42345,94.5,,,,,,,,52262,42345
3,Pta-1190,45000,3750,4500,N,Butzer et al. (1978),,… - 44201,95.4,,,,,,,,,44201
3,Pta-1190,45000,2200,4500,N,Butzer et al. (1978),,54952 - 53466,6.5,52736 - 44628,88.9,,,,,,54952,44628
4,Pta-877,45400,3000,4540,N,Butzer et al. (1978),,… - 53074,12.8,53037 - 44905,82.7,,,,,,53037,44905
4,Pta-877,45400,2000,4540,N,Butzer et al. (1978),,54943 - 53500,6.3,52715 - 44981,89.1,,,,,,54943,44981
4,Pta-1274,47200,4200,4720,N,Butzer et al. (1978),,… - 45450,95.4,,,,,,,,,45450
4,Pta-1274,47200,2750,4720,N,Butzer et al. (1978),,… - 46368,95.4,,,,,,,,,46368
2 BS Upper,OxA-33716,43300,2700,4330,N,Blackwell et al. (2018),,54847 - 53530,5,52697 - 42906,90.4,,,,,,54847,42906
1 BS Lower C,OxA-33715,36700,900,3670,N,Blackwell et al. (2018),,42516 - 40101,95.4,,,,,,,,42516,40101
