calBP,PrDens,PrDens_Taphonomic,Site
50000,0.00037842,0.000243695,Border Cave C14
49999,0.000378575,0.000243788,Border Cave C14
49998,0.00037873,0.000243882,Border Cave C14
49997,0.000378885,0.000243975,Border Cave C14
49996,0.00037904,0.000244068,Border Cave C14
49995,0.000379194,0.000244161,Border Cave C14
49994,0.000379349,0.000244254,Border Cave C14
49993,0.000379504,0.000244348,Border Cave C14
49992,0.000379659,0.000244441,Border Cave C14
49991,0.000379814,0.000244534,Border Cave C14
49990,0.000379969,0.000244627,Border Cave C14
49989,0.000380124,0.00024472,Border Cave C14
49988,0.000380279,0.000244814,Border Cave C14
49987,0.000380434,0.000244907,Border Cave C14
49986,0.000380588,0.000245,Border Cave C14
49985,0.000380743,0.000245093,Border Cave C14
49984,0.000380898,0.000245186,Border Cave C14
49983,0.000381053,0.00024528,Border Cave C14
49982,0.000381208,0.000245373,Border Cave C14
49981,0.000381363,0.000245466,Border Cave C14
49980,0.000381518,0.000245559,Border Cave C14
49979,0.000381685,0.00024566,Border Cave C14
49978,0.000381851,0.00024576,Border Cave C14
49977,0.000382018,0.000245861,Border Cave C14
49976,0.000382184,0.000245962,Border Cave C14
49975,0.000382351,0.000246062,Border Cave C14
49974,0.000382517,0.000246163,Border Cave C14
49973,0.000382684,0.000246263,Border Cave C14
49972,0.000382851,0.000246364,Border Cave C14
49971,0.000383017,0.000246465,Border Cave C14
49970,0.000383184,0.000246565,Border Cave C14
49969,0.00038335,0.000246666,Border Cave C14
49968,0.000383517,0.000246767,Border Cave C14
49967,0.000383684,0.000246867,Border Cave C14
49966,0.00038385,0.000246968,Border Cave C14
49965,0.000384017,0.000247068,Border Cave C14
49964,0.000384183,0.000247169,Border Cave C14
49963,0.00038435,0.00024727,Border Cave C14
49962,0.000384517,0.00024737,Border Cave C14
49961,0.000384683,0.000247471,Border Cave C14
49960,0.00038485,0.000247571,Border Cave C14
49959,0.000385017,0.000247672,Border Cave C14
49958,0.000385183,0.000247773,Border Cave C14
49957,0.00038535,0.000247873,Border Cave C14
49956,0.000385517,0.000247974,Border Cave C14
49955,0.000385684,0.000248075,Border Cave C14
49954,0.00038585,0.000248175,Border Cave C14
49953,0.000386017,0.000248276,Border Cave C14
49952,0.000386184,0.000248376,Border Cave C14
49951,0.000386351,0.000248477,Border Cave C14
49950,0.000386517,0.000248578,Border Cave C14
49949,0.000386684,0.000248678,Border Cave C14
49948,0.000386851,0.000248779,Border Cave C14
49947,0.000387017,0.000248879,Border Cave C14
49946,0.000387184,0.00024898,Border Cave C14
49945,0.000387351,0.00024908,Border Cave C14
49944,0.000387518,0.000249181,Border Cave C14
49943,0.000387684,0.000249282,Border Cave C14
49942,0.000387851,0.000249382,Border Cave C14
49941,0.000388018,0.000249483,Border Cave C14
49940,0.000388185,0.000249583,Border Cave C14
49939,0.000388346,0.00024968,Border Cave C14
49938,0.000388507,0.000249777,Border Cave C14
49937,0.000388668,0.000249874,Border Cave C14
49936,0.000388829,0.000249971,Border Cave C14
49935,0.00038899,0.000250068,Border Cave C14
49934,0.000389151,0.000250164,Border Cave C14
49933,0.000389312,0.000250261,Border Cave C14
49932,0.000389473,0.000250358,Border Cave C14
