Artifact Type,Artifact Volume,Age (ka),Error,Reference
Total Analyzed Lithics (> 3cm),1980,MIS (~57 - 29),N/A,Bader et al. (2015)
Total Artifact Collection Profile,~4000,MIS (~57 - 29),N/A,KZN Museum Legacy Collection / Bader et al. 2015
Total Macro-Debitage & Plotted Finds (> 2cm),681,~36 - 34 cal BP,N/A,Bader et al. (2024)
Total Screen-Recovered Small Debitage (< 2cm),1069,~36 - 34 cal BP,N/A,Bader et al. (2024)
Total Layer AVA: Plotted Finds (> 2cm),123,~35 cal BP,N/A,Bader et al. (2024)
Total Layer BIB: Plotted Finds (>2 cm),558,~35 cal BP,N/A,Bader et al. (2024)
Total Layer AVA & BIB: Formal Tools,77,~36 - 34 cal BP,N/A,Bader et al. (2024)
Total Layer AVA & BIB: Discarded Cores,19,~36 - 34 cal BP,N/A,Bader et al. (2024)
Total Layer AVA & BIB: Angular Debris,35,~36 - 34 cal BP,N/A,Bader et al. (2024)
Total Layer AVA & BIB: Unretouched Blanks,550,~36 - 34 cal BP,N/A,Bader et al. (2024)
Total Layer AVA & BIB: Splintered Pieces,40,~36 - 34 cal BP,N/A,Bader et al. (2024)
Total Layer AVA & BIB: Bipolar Splinters (n),73,~36 - 34 cal BP,N/A,Bader et al. (2024)
Total Layer AVA & BIB: Ochre Mass (g),690,~36 - 34 cal BP,N/A,Bader et al. (2024)
Total Layer AVA & BIB: Plotted Ochre Mod. (>2 cm),53,~36 - 34 cal BP,N/A,Bader et al. (2024)
Total Plotted Lithics Layer BIB with Ochre Stains,11,~36 - 34 cal BP,N/A,Bader et al. (2024)
