Lab Sample,Age BP,Error,Max Error Allowed,>10%,Reference,,calBP,Probability (%),calBP,Probability (%),calBP,Probability (%),calBP,Probability (%),,oldestBP,youngestBP
IT-C-4133,30730,370,3073,N,Bader et al. (2024),,35909 - 34435,95.4,,,,,,,,35909,34435
IT-C-4138,30300,520,3030,N,Bader et al. (2024),,35901 - 33829,95.4,,,,,,,,35901,33829
IT-C-4123,30330,330,3033,N,Bader et al. (2024),,35365 - 34220,95.4,,,,,,,,35365,34220
IT-C-4126,31380,470,3138,N,Bader et al. (2024),,36650 - 34704,95.4,,,,,,,,36650,34704
IT-C-4131,30050,330,3005,N,Bader et al. (2024),,35230 - 33950,95.4,,,,,,,,35230,33950
IT-C-4142,31750,370,3175,N,Bader et al. (2024),,36855 - 35339,95.4,,,,,,,,36855,35339
IT-C-3950,33450,450,3345,N,Bader et al. (2024),,39412 - 36982,95.4,,,,,,,,39412,63982
IT-C-5114,37000,2800,3700,N,Bader et al. (2024),,51893 - 36702,95.4,,,,,,,,51893,36702
IT-C-4140,29200,1500,2920,N,Bader et al. (2024),,38060 - 30807,95.4,,,,,,,,38060,30807
IT-C-4128,30640,360,3064,N,Bader et al. (2024),,35761 - 34361,95.4,,,,,,,,35761,34361
IT-C-4129,29880,330,2988,N,Bader et al. (2024),,35115 - 33725,95.4,,,,,,,,35115,33725
IT-C_4127,30980,350,3098,N,Bader et al. (2024),,36080 - 34631,95.4,,,,,,,,36080,34631
IT-C-4145,32710,590,3271,N,Bader et al. (2024),,39152 - 36084,95.4,,,,,,,,39152,36084
IT-C-4141,30980,350,3098,N,Bader et al. (2024),,36080 - 34631,95.4,,,,,,,,36080,34631
IT-C-5107,33300,1800,3330,N,Bader et al. (2024),,42065 - 34800,95.4,,,,,,,,42065,34800
IT-C-5113,35600,2300,3560,N,Bader et al. (2024),,46870 - 35777,95.4,,,,,,,,46870,35777
IT-C-5116,31800,1500,3180,N,Bader et al. (2024),,40715 - 33806,95.4,,,,,,,,40715,33806
IT-C-5109,33300,1800,3330,N,Bader et al. (2024),,42065 - 34800,95.4,,,,,,,,42065,34800
IT-C-5115,36300,2600,3630,N,Bader et al. (2024),,50148 - 36132,95.4,,,,,,,,50148,36132
IT-C-5112,31400,1500,3140,N,Bader et al. (2024),,40460 - 33185,95.4,,,,,,,,40460,33185
IT-C-5105,34300,2000,3430,N,Bader et al. (2024),,43408 - 35227,95.4,,,,,,,,43408,35227
IT-C-5125,37500,2900,3750,N,Bader et al. (2024),,52521 - 37142,95.4,,,,,,,,52521,37142
IT-C-5126,37500,2800,3750,N,Bader et al. (2024),,52242 - 37232,95.4,,,,,,,,52242,37232
IT-C-5123,37500,2700,3750,N,Bader et al. (2024),,51944 - 37366,95.4,,,,,,,,51944,37366
IT-C-5122,37000,2800,3700,N,Bader et al. (2024),,51893 - 36702,95.4,,,,,,,,51893,36702
IT-C-5130,35400,1600,3540,N,Bader et al. (2024),,42323 - 36252,95.4,,,,,,,,42323,36252
IT-C-5228,33800,1400,3380,N,Bader et al. (2024),,41799 - 36010,95.4,,,,,,,,41799,36010
IT-C-5128,34900,1500,3490,N,Bader et al. (2024),,42400 - 36727,95.4,,,,,,,,42400,36727
IT-C-5124,37500,2800,3750,N,Bader et al. (2024),,52242 - 37232,95.4,,,,,,,,52242,37232
IT-C-5132,37200,2000,3720,N,Bader et al. (2024),,46876 - 37986,95.4,,,,,,,,46876,37986
IT-C-5120,37200,2700,3720,N,Bader et al. (2024),,51653 - 36987,95.4,,,,,,,,51653,36987
IT-C-5129,38500,2200,3850,N,Bader et al. (2024),,49837 - 39482,95.4,,,,,,,,49837,39482
IT-C-5121,39300,3300,3930,N,Bader et al. (2024),,54900 - 53451,4.1,52745 - 39915,91.3,,,,,,54900,39915
IT-C-4136,36050,740,3605,N,Bader et al. (2024),,42120 - 39818,95.4,,,,,,,,42120,39818
IT-C-4130,32580,410,3258,N,Bader et al. (2024),,38480 - 36108,95.4,,,,,,,,38480,36108
IT-C-4143,34090,530,3409,N,Bader et al. (2024),,40431 - 37518,95.4,,,,,,,,40431,37518
IT-C-4135,35070,780,3507,N,Bader et al. (2024),,41833 - 38515,95.4,,,,,,,,41833,38515
IT-C-4132,28800,290,2880,N,Bader et al. (2024),,33976 - 32098,95.4,,,,,,,,33876,32098
IT-C-4137,38190,760,3819,N,Bader et al. (2024),,43178 - 41415,95.4,,,,,,,,43178,41415
IT-10-4134,35850,590,3585,N,Bader et al. (2024),,41905 - 39841,95.4,,,,,,,,41905,39841
IT-10-4124,36440,680,3644,N,Bader et al. (2024),,42265 - 40327,95.4,,,,,,,,42265,40327
IT-10-4139,34980,540,3498,N,Bader et al. (2024),,41170 - 39188,95.4,,,,,,,,41170,39188
IT-C-4390,36990,1829,3699,N,Bader et al. (2024),,45730 - 38345,95.4,,,,,,,,45730,38345
C-Legacy-1,4490,150,449,N,Cramb (1961),,5573 - 5529,1.2,5481 - 4804,91.7,4757 - 4699,1.9,4673 - 4649,0.7,,5573,4649
C-Legacy-2,18200,500,1820,N,Cramb (1961),,23170 - 20776,95.4,,,,,,,,23170,20776
