"calBP","PrDens"
55000,3.9723625404718e-05
54999,3.97324208143931e-05
54998,3.97412174272511e-05
54997,3.97500152430036e-05
54996,3.9758814261362e-05
54995,3.97676144820375e-05
54994,3.97764159047409e-05
54993,3.97852185291826e-05
54992,3.9794022355073e-05
54991,3.98028273821221e-05
54990,3.98116336100396e-05
54989,3.98204410385351e-05
54988,3.98292496673175e-05
54987,3.98380594960959e-05
54986,3.9846870524579e-05
54985,3.98556827524751e-05
54984,3.98644961794922e-05
54983,3.98733108053382e-05
54982,3.98821266297205e-05
54981,3.98909436523466e-05
54980,3.98997618729234e-05
54979,3.99086337022163e-05
54978,3.99175066606533e-05
54977,3.99263807479389e-05
54976,3.99352559637778e-05
54975,3.9944132307874e-05
54974,3.99530097799314e-05
54973,3.99618883796538e-05
54972,3.99707681067444e-05
54971,3.99796489609067e-05
54970,3.99885309418434e-05
54969,3.99974140492574e-05
54968,4.0006298282851e-05
54967,4.00151836423264e-05
54966,4.00240701273858e-05
54965,4.00329577377309e-05
54964,4.0041846473063e-05
54963,4.00507363330835e-05
54962,4.00596273174934e-05
54961,4.00685194259935e-05
54960,4.00774126582843e-05
54959,4.00862552655743e-05
54958,4.00950990643049e-05
54957,4.01039440541769e-05
54956,4.01127902348912e-05
54955,4.01216376061478e-05
54954,4.01304861676469e-05
54953,4.01393359190881e-05
54952,4.0148186860171e-05
54951,4.01570389905947e-05
54950,4.01658923100582e-05
54949,4.01747468182601e-05
54948,4.01836025148988e-05
54947,4.01924593996723e-05
54946,4.02013174722786e-05
54945,4.02101767324151e-05
54944,4.0219037179779e-05
54943,4.02278988140674e-05
54942,4.0236761634977e-05
54941,4.02456256422042e-05
54940,4.02544908354452e-05
54939,4.02634082607516e-05
54938,4.02723268032163e-05
54937,4.02812464625342e-05
54936,4.02901672384e-05
54935,4.02990891305078e-05
54934,4.03080121385517e-05
54933,4.03169362622256e-05
54932,4.0325861501223e-05
54931,4.03347878552373e-05
54930,4.03437153239617e-05
54929,4.03526439070888e-05
54928,4.03615736043115e-05
54927,4.03705044153218e-05
54926,4.03794363398122e-05
54925,4.03883693774744e-05
54924,4.03973035280001e-05
54923,4.04062387910806e-05
54922,4.04151751664071e-05
54921,4.04241126536705e-05
54920,4.04330512525615e-05
54919,4.04414802869812e-05
54918,4.0449910329957e-05
54917,4.04583413812281e-05
54916,4.04667734405333e-05
54915,4.04752065076115e-05
54914,4.04836405822012e-05
54913,4.04920756640408e-05
54912,4.05005117528686e-05
