Assemblage_Layer,Min_Age,Max_Age,AgeBP,Age,Lithic_Piece_Count
Bu,35000,41600,-38300,38300,6664
Co,35400,40600,-38000,38000,4689
DMou,48600,51700,-50150,50150,539
Es,48600,51700,-50150,50150,703
LBMOD,48600,52200,-50400,50400,12381
MC (hearth),48600,51700,-50150,50150,6303
Mou,48600,51700,-50150,50150,769
RSp,44100,50100,-47100,47100,1548
,,26000,-26000,26000,109
,,28880,-28880,28880,11
,,30600,-30600,30600,1
,,34700,-34700,34700,1
,,37000,-37000,37000,20
,,37650,-37650,37650,29311
,,38000,-38000,38000,75430
,,38500,-38500,38500,303
,,43700,-43700,43700,15
,,44300,-44300,44300,20
,,46000,-46000,46000,16
,,46600,-46600,46600,36
,,48000,-48000,48000,2282
,,48250,-48250,48250,141
,,48400,-48400,48400,344
,,48500,-48500,48500,1640
,,49000,-49000,49000,15
,,49400,-49400,49400,193
,,50000,-50000,50000,476
,,53400,-53400,53400,2259
,,55000,-55000,55000,24
,,56650,-56650,56650,74
,,56700,-56700,56700,1
,,57000,-57000,57000,246
,,57500,-57500,57500,9000
,,57600,-57600,57600,5
,,57800,-57800,57800,13907
,,58000,-58000,58000,291805.462
,,58200,-58200,58200,4286
,,58300,-58300,58300,414
,,58500,-58500,58500,177483
,,59000,-59000,59000,1933
,,59600,-59600,59600,10254
,,60000,-60000,60000,155
,,60100,-60100,60100,121468
,,61000,-61000,61000,3
,,61700,-61700,61700,9149
,,62500,-62500,62500,97413
,,62750,-62750,62750,161
,,63000,-63000,63000,106996
,,63200,-63200,63200,105045
,,63500,-63500,63500,8048
,,63800,-63800,63800,15582
,,64000,-64000,64000,67
,,64700,-64700,64700,520
,,70000,-70000,70000,4078
,,70500,-70500,70500,4045
,,71000,-71000,71000,10
,,71500,-71500,71500,5
,,72500,-72500,72500,1012
,,72850,-72850,72850,1167
,,73200,-73200,73200,1559
,,73500,-73500,73500,48
,,74850,-74850,74850,25
,,75000,-75000,75000,3
,,77000,-77000,77000,92
,,77200,-77200,77200,2491
,,77300,-77300,77300,14
