Artifact Type,Artifact Volume,Ages BP,Reference
Points,104,26000,Williamson (2004)
Flaked bone fragment,5,26000,Cain (2004)
Notched bone fragment,10,28880,Cain (2004)
Polished bone pin,1,34700,Blackwell et al. (2008)
Whole points,19,37000,Wadley (2006)
Thin bone pin,1,37000,Wadley (2006)
Final MSA Bone Tools,1,38000,d'Errico et al. (2012)
Faunal remains (NISP) (Final MSA),1424,38000,Collins (2016)
Faunal remains (MNI) (Final MSA),74,38000,Collins (2016)
Faunal Remains,14245,38000,Collins (2013)
"Charcoal samples (Podocarpus, Layer RSp / late MSA)",15,46000,Hall et al. (2014)
Backed pieces,1,46000,Soriano et al. (2009) (Table J)
"Charcoal samples (Celtis, Layer OMOD / late MSA)",36,46600,Hall et al. (2014)
Engraved ochre fragment (Late MSA),1,48000,Lombard (2008)
Formal tools,344,48400,Wadley (2006)
Brown mussel,7,49000,Plug (2006)
Marine turtle fragments,8,49000,Plug (2006)
Unretouched dolerite flake with residue,1,49400,Villa et al. (2015)
Total ochre pieces in Layer MOD,192,49400,Villa et al. (2015)
Whole points,64,50000,Wadley (2006)
Mammalian faunal remains (Final MSA),303,~35000 - 42000,"Clark & Kandel (2013, Table 1)"
final MSA,2636,~38000,Wadley & Kempson (2011)
Utilised Ochre (Final MSA),40,~38000,Hodgskiss (2013)
Points analyzed for TCSA (Final MSA),37,~38000,"Sahle & Lombard (2024, Table S1)"
Mammalian faunal remains (Late MSA),1985,~44000 - 52000,"Clark & Kandel (2013, Table 1)"
late MSA,67,~48000,Wadley & Kempson (2011)
Points analyzed for TCSA (Late MSA),163,~48000,"Sahle & Lombard (2024, Table S1)"
Syncerus caffer (Cape Buffalo),44,~48000,"Dusseldorp (2010, Table 3)"
Taurotragus oryx (Eland),2,~48000,"Dusseldorp (2010, Table 3)"
Suidae (Bushpig / Warthog),20,~48000,"Dusseldorp (2010, Table 3)"
Faunal remains (Final MSA / MOD units),22141,> 38000,Plug (2004)
Faunal remains (MSA down to Black Lens),24821,> 38000,Plug (2004)
Sediment samples (from visible hearths and ashy deposits),20,26000 - 62600,Schiegl et al. (2004)
Chips (< 10mm),21097,33000 - 42300,Wadley (2005)
Flakes (Whole),3811,33000 - 42300,Wadley (2005)
Chunks,3755,33000 - 42300,Wadley (2005)
Retouched Tools (Whole and Broken),376,33000 - 42300,Wadley (2005)
Blades and Bladeletes,160,33000 - 42300,Wadley (2005)
Cores (Whole),108,33000 - 42300,Wadley (2005)
Gindstone Fragments,4,33000 - 42300,Wadley (2005)
Carbonized seeds (unidentified),999,37000 - 60000,Sievers (2006)
Carbonized seeds (identified),56,37000 - 60000,Sievers (2006)
Cyperaceae nutlets (Sedges),585,37000 - 60000,Sievers (2006)
Utilised Ochre (Late MSA),141,46600 - 49900,Hodgskiss (2013)
Backed pieces (made on flakes),15,49400 - 38000,Soriano et al. (2009) (Table J)
Total Ochre Assemblage,>9000,77000 - 38000,Hodgskiss (2013)
