Layer,Lab Sample,Age BP,Error,Max Error Allowed,>10%?,Reference,,calBP,Probability (%),calBP,Probability (%),calBP,Probability (%),,oldestBP,youngestBP
MOD 2,Pta-3765,26000,420,2600,N,Wadley (2005),,31044 - 29453,93.1,29430 - 29321,2.4,,,,31044,29321
GAA2,Pta-3767,24200,290,2420,N,Wadley (2005),,28971 - 27775,95.4,,,,,,38971,27775
BSS (pit in E3),Pta-8015,960,25,96,N,Wadley (2005),,918 - 765,95.4,,,,,,918,765
Bu,Pta-8017,42300,1300,4230,N,Wadley (2005),,47981 - 43003,95.4,,,,,,47981,43003
O MOD 2,Pta-8142,34130,2000,3413,N,Wadley and Jacobs (2004),,43253 - 35071,95.4,,,,,,43253,35071
BSp2,GrA-19670,28880,170,2888,N,Wadley and Jacobs (2004),,33910 - 32783,90.9,32591 - 32310,4.6,,,,33910,32310
MOD,-,26000,240,2600,N,Wadley (2004),,30865 - 29865,95.4,,,,,,30865,29895
Bu,-,42300,1300,4230,N,Wadley (2004),,47981 - 43003,95.4,,,,,,47981,43003
MOD2,Pta-3765,26000,420,2600,N,Wadley (2001),,31044 - 29453,93.1,29430 - 29321,2.4,,,,31044,29321
GAA2,Pta-3767,24200,290,2420,N,Wadley (2001),,28971 - 27775,95.4,,,,,,28971,27775
BSS pit,Pta-8015,960,25,96,N,Wadley (2001),,918 - 765,95.4,,,,,,918,765
B/Y,Pta-8137,10490,110,1049,N,Wadley (2001),,12960 - 11964,95.4,,,,,,12690,11964
B MOD,Pta-8022,24800,370,2480,N,Wadley (2001),,29949 - 28171,95.4,,,,,,29949,28171
O MOD2-BL,Pta-8142,34300,2000,3430,N,Wadley (2001),,43408 - 35227,95.4,,,,,,43408,35227
Bu,Pta-8017,42300,1300,4230,N,Wadley (2001),,47981 - 43003,95.4,,,,,,47981,43003
BSS2,Pta-9196,1030,40,103,N,Wood (2009),,959 - 797,95.4,,,,,,959,797
Hut floor,Pta-9202,970,50,97,N,Wood (2009),,926 - 738,95.4,,,,,,926,738
Level 21,GrN-4814,12090,95,1209,N,Badenhorst and Plug (2012) citing Vogel (1969),,14170 - 13746,93.7,13699 - 13660,1.3,13628 - 13614,0.5,,14170,13614
Level 27,GrN-4815,12315,120,1231.5,N,Badenhorst and Plug (2012) citing Vogel (1969),,14930 - 14005,93.5,13927 - 13871,1.9,,,,14930,13871
Level 28A,GrN-4816,12510,105,1251,N,Badenhorst and Plug (2012) citing Vogel (1969),,15104 - 14190,95.4,,,,,,15104,14190
Level 28B,GrN-5873,12470,145,1247,N,Badenhorst and Plug (2012) citing Vogel (1969),,15122 - 14082,95.4,,,,,,15122,14082
N/A,-,12800,75,1280,N,Badenhorst and Plug (2012) citing Plug (1978),,15509 - 14999,95.4,,,,,,15509,14999
N/A,-,12950,70,1295,N,Badenhorst and Plug (2012) citing Plug (1978),,15670 - 15219,95.4,,,,,,15670,15219
Level 14,UCLA-1755B,27000,1600,2700,N,Badenhorst and Plug (2012) citing Protsch and De Villiers (1974),,35832 - 28297,95.4,,,,,,35832,28297
