Layer,Age (ka),Error (ka),Max Error Allowed,>10%?,Reference
Co,37.1,1.5,3.71,N,Wadley (2006)
Bu,36.7,1.7,3.67,N,Wadley (2006)
LBMOD,50.4,1.8,5.04,N,Wadley (2006)
PB,49,2,4.9,N,Wadley (2006)
"Ore, Ore2",49.7,1.8,4.97,N,Wadley (2006)
"RD, RSp",50.3,2.1,5.03,N,Wadley (2006)
OMODBL,50.2,1.7,5.02,N,Wadley (2006)
RSp,48.2,1.7,4.82,N,Wadley (2006)
SPCA,61.3,2,6.13,N,Wadley (2006)
BSp2,56.2,1.9,5.62,N,Wadley (2006)
PB,64.1,2.9,6.41,N,Wadley (2006)
G1,61.6,1.9,6.16,N,Wadley (2006)
Ch2,59.4,2.4,5.94,N,Wadley (2006)
Y1,59.4,2.3,5.94,N,Wadley (2006)
MOD,49.7,1.8,4.97,N,Herries (2006)
OMOD,50.3,2.1,5.03,N,Herries (2006)
OMOD2,50.2,1.7,5.02,N,Herries (2006)
RSp,48.4,1.7,4.84,N,Herries (2006)
SPCA,61.3,2,6.13,N,Herries (2006)
SS,56.2,1.9,5.62,N,Herries (2006)
P,64.1,2.9,6.41,N,Herries (2006)
Ch2,61.6,1.9,6.16,N,Herries (2006)
B/Gmix,59.4,2.3,5.94,N,Herries (2006)
Bu,35.2,2,3.52,N,Wadley (2005)
OMOD,51.8,1.8,5.18,N,Wadley and Jacobs (2004)
RSp,53.4,3.2,5.34,N,Wadley and Jacobs (2004)
BSp2,56.7,2.3,5.67,N,Wadley and Jacobs (2004)
Or,61.5,2.2,6.15,N,Wadley and Jacobs (2004)
SS,57,2.3,5.7,N,Wadley and Jacobs (2004)
P,59.6,2.2,5.96,N,Wadley and Jacobs (2004)
Ch2,60.8,2.3,6.08,N,Wadley and Jacobs (2004)
Y1,59,1.9,5.9,N,Wadley and Jacobs (2004)
B/Gmix,58.1,2.5,5.81,N,Wadley and Jacobs (2004)
PGS,64.7,1.9,6.47,N,Lennox and Wadley (2019)
PGS2,64.7,1.9,6.47,N,Lennox and Wadley (2019)
PGS3,64.7,1.9,6.47,N,Lennox and Wadley (2019)
RGS,70.5,2,7.05,N,Lennox and Wadley (2019)
BS6,77.2,2.1,7.72,N,Lennox and Wadley (2019)
BS7,77.2,2.1,7.72,N,Lennox and Wadley (2019)
Bu (combined as Ore2),35.2,1.8,3.52,N,Wadley (2004)
OMOD,51.8,2.1,5.18,N,Wadley (2004)
RSp-YSp,53.4,3.2,5.34,N,Wadley (2004)
BSp-BSp2,56.7,2.3,5.67,N,Wadley (2004)
"SS, Che, Eb",57,2.3,5.7,N,Wadley (2004)
BG/Mix; BL2; BL3; Bor; Ymix,58.1,2.5,5.81,N,Wadley (2004)
Y1,59,1.9,5.9,N,Wadley (2004)
"Ma, My, BO, P, BP, OP, Iv, BM",59.6,2.2,5.96,N,Wadley (2004)
G1; Ch2 (Combines as Ch2),60.8,2.3,6.08,N,Wadley (2004)
Or,61.5,2.2,6.15,N,Wadley (2004)
RSp,46,1.9,4.6,N,Hall et al. (2014)
OMOD,46.6,2.3,4.66,N,Hall et al. (2014)
OMODBL,47.6,1.9,4.76,N,Hall et al. (2014)
MOD,49.1,2.5,4.91,N,Hall et al. (2014)
"PB, Ore, Ore2, LBMOD, Cad, Pu",49.9,2.5,4.99,N,Hall et al. (2014)
"BSP, BSP2",57.6,2.1,5.76,N,Hall et al. (2014)
"B/Mix, BL2, BL3, Bor, Ymix, YA1, YA2, Br under YA2",58.2,2.4,5.82,N,Hall et al. (2014)
"G1, Ch2",58.3,2,5.83,N,Hall et al. (2014)
Y1,58.6,2.1,5.86,N,Hall et al. (2014)
"P, OP",59,2.2,5.9,N,Hall et al. (2014)
"Mi, SS",59.6,2.3,5.96,N,Hall et al. (2014)
GR,61.7,1.5,6.17,N,Hall et al. (2014)
GR2,63.8,2.5,6.38,N,Hall et al. (2014)
PGS,64.7,1.9,6.47,N,Hall et al. (2014)
PGS3-PGS (specifically PGS),64.7,2.3,6.47,N,Lombard et al. (2019) citing Jacobs et al. (2008a)
RGS,70.5,2.4,7.05,N,Lombard et al. (2019) citing Jacobs et al. (2008a)
LGB,72.5,2.5,7.25,N,Lombard et al. (2019) citing Jacobs et al. (2008a)
LGB4-LGB2 (specifically LGB2),73.2,2.7,7.32,N,Lombard et al. (2019) citing Jacobs et al. (2008a)
BS10-BS (specifically BS),77.3,2.7,7.73,N,Lombard et al. (2019) citing Jacobs et al. (2008a)
GR2,61.7,1.5,6.17,N,"Wadley (2012) citing Jacobs et al. (2008a, b)"
GS2,63.8,2.5,6.38,N,"Wadley (2012) citing Jacobs et al. (2008a, b)"
PGS,64.7,1.9,6.47,N,"Wadley (2012) citing Jacobs et al. (2008a, b)"
RGS,70.5,2,7.05,N,"Wadley (2012) citing Jacobs et al. (2008a, b)"
LBG,72.5,2,7.25,N,"Wadley (2012) citing Jacobs et al. (2008a, b)"
LBG2,73.2,2.3,7.32,N,"Wadley (2012) citing Jacobs et al. (2008a, b)"
BS,77.2,2.1,7.72,N,"Wadley (2012) citing Jacobs et al. (2008a, b)"
Co,38,2.6,3.8,N,"Wadley (2015) citing Jacobs et al. (2008a, 2008b)"
Bu,37.6,2.4,3.76,N,"Wadley (2015) citing Jacobs et al. (2008a, 2008b)"
LBMOD,48,2.4,4.8,N,"Wadley (2015) citing Jacobs et al. (2008a, 2008b)"
