"calBP","PrDens"
55000,0
54999,0
54998,0
54997,0
54996,0
54995,0
54994,0
54993,0
54992,0
54991,0
54990,0
54989,0
54988,0
54987,0
54986,0
54985,0
54984,0
54983,0
54982,0
54981,0
54980,0
54979,0
54978,0
54977,0
54976,0
54975,0
54974,0
54973,0
54972,0
54971,0
54970,0
54969,0
54968,0
54967,0
54966,0
54965,0
54964,0
54963,0
54962,0
54961,0
54960,0
54959,0
54958,0
54957,0
54956,0
54955,0
54954,0
54953,0
54952,0
54951,0
54950,0
54949,0
54948,0
54947,0
54946,0
54945,0
54944,0
54943,0
54942,0
54941,0
54940,0
54939,0
54938,0
54937,0
54936,0
54935,0
54934,0
54933,0
54932,0
54931,0
54930,0
54929,0
54928,0
54927,0
54926,0
54925,0
54924,0
54923,0
54922,0
54921,0
54920,0
54919,0
54918,0
54917,0
54916,0
54915,0
54914,0
54913,0
54912,0
54911,0
54910,0
54909,0
54908,0
54907,0
54906,0
54905,0
54904,0
54903,0
54902,0
54901,0
54900,0
54899,0
54898,0
54897,0
54896,0
54895,0
54894,0
54893,0
54892,0
54891,0
54890,0
54889,0
54888,0
54887,0
54886,0
54885,0
54884,0
54883,0
54882,0
54881,0
54880,0
54879,0
54878,0
54877,0
54876,0
54875,0
54874,0
54873,0
54872,0
54871,0
54870,0
54869,0
54868,0
54867,0
54866,0
54865,0
54864,0
54863,0
54862,0
54861,0
54860,0
54859,0
54858,0
54857,0
54856,0
54855,0
54854,0
54853,0
54852,0
54851,0
54850,0
54849,0
54848,0
54847,0
54846,0
54845,0
54844,0
54843,0
54842,0
54841,0
54840,0
54839,0
54838,0
54837,0
54836,0
54835,0
54834,0
54833,0
54832,0
54831,0
54830,0
54829,0
54828,0
54827,0
54826,0
54825,0
54824,0
54823,0
54822,0
54821,0
54820,0
54819,0
54818,0
54817,0
54816,0
54815,0
54814,0
54813,0
54812,0
54811,0
54810,0
54809,0
54808,0
54807,0
54806,0
54805,0
54804,0
54803,0
54802,0
54801,0
54800,0
54799,0
54798,0
54797,0
54796,0
54795,0
54794,0
54793,0
54792,0
54791,0
54790,0
54789,0
54788,0
54787,0
54786,0
54785,0
54784,0
54783,0
54782,0
54781,0
54780,0
54779,0
54778,0
54777,0
54776,0
54775,0
54774,0
54773,0
54772,0
54771,0
54770,0
54769,0
54768,0
54767,0
54766,0
54765,0
54764,0
54763,0
54762,0
54761,0
54760,0
54759,0
54758,0
54757,0
54756,0
54755,0
54754,0
54753,0
54752,0
54751,0
54750,0
54749,0
54748,0
54747,0
54746,0
54745,0
54744,0
54743,0
54742,0
54741,0
54740,0
54739,0
54738,0
54737,0
54736,0
54735,0
54734,0
54733,0
54732,0
54731,0
54730,0
54729,0
54728,0
54727,0
54726,0
54725,0
54724,0
54723,0
54722,0
54721,0
54720,0
54719,0
54718,0
54717,0
54716,0
54715,0
54714,0
54713,0
54712,0
54711,0
54710,0
54709,0
54708,0
54707,0
54706,0
54705,0
54704,0
54703,0
54702,0
54701,0
54700,0
54699,0
54698,0
54697,0
54696,0
54695,0
54694,0
54693,0
54692,0
54691,0
54690,0
54689,0
54688,0
54687,0
54686,0
54685,0
54684,0
54683,0
54682,0
54681,0
54680,0
54679,0
54678,0
54677,0
54676,0
54675,0
54674,0
54673,0
54672,0
54671,0
54670,0
54669,0
54668,0
54667,0
54666,0
54665,0
54664,0
54663,0
54662,0
54661,0
54660,0
54659,0
54658,0
54657,0
54656,0
54655,0
54654,0
54653,0
54652,0
54651,0
54650,0
54649,0
54648,0
54647,0
54646,0
54645,0
54644,0
54643,0
54642,0
54641,0
54640,0
54639,0
54638,0
54637,0
54636,0
54635,0
54634,0
54633,0
54632,0
54631,0
54630,0
54629,0
54628,0
54627,0
54626,0
54625,0
54624,0
54623,0
54622,0
54621,0
54620,0
54619,0
54618,0
54617,0
54616,0
54615,0
54614,0
54613,0
54612,0
54611,0
54610,0
54609,0
54608,0
54607,0
54606,0
54605,0
54604,0
54603,0
54602,0
54601,0
54600,0
54599,0
54598,0
54597,0
54596,0
54595,0
54594,0
54593,0
54592,0
54591,0
54590,0
54589,0
54588,0
54587,0
54586,0
54585,0
54584,0
54583,0
54582,0
54581,0
54580,0
54579,0
54578,0
54577,0
54576,0
54575,0
54574,0
54573,0
54572,0
54571,0
54570,0
54569,0
54568,0
54567,0
54566,0
54565,0
54564,0
54563,0
54562,0
54561,0
54560,0
54559,0
54558,0
54557,0
54556,0
54555,0
54554,0
54553,0
54552,0
54551,0
54550,0
54549,0
54548,0
54547,0
54546,0
54545,0
54544,0
54543,0
54542,0
54541,0
54540,0
54539,0
54538,0
54537,0
54536,0
54535,0
54534,0
54533,0
54532,0
54531,0
54530,0
54529,0
54528,0
54527,0
54526,0
54525,0
54524,0
54523,0
54522,0
54521,0
54520,0
54519,0
54518,0
54517,0
54516,0
54515,0
54514,0
54513,0
54512,0
54511,0
54510,0
54509,0
54508,0
54507,0
54506,0
54505,0
54504,0
54503,0
54502,0
54501,0
54500,0
54499,0
54498,0
54497,0
54496,0
54495,0
54494,0
54493,0
54492,0
54491,0
54490,0
54489,0
54488,0
54487,0
54486,0
54485,0
54484,0
54483,0
54482,0
54481,0
54480,0
54479,0
54478,0
54477,0
54476,0
54475,0
54474,0
54473,0
54472,0
54471,0
54470,0
54469,0
54468,0
54467,0
54466,0
54465,0
54464,0
54463,0
54462,0
54461,0
54460,0
54459,0
54458,0
54457,0
54456,0
54455,0
54454,0
54453,0
54452,0
54451,0
54450,0
54449,0
54448,0
54447,0
54446,0
54445,0
54444,0
54443,0
54442,0
54441,0
54440,0
54439,0
54438,0
54437,0
54436,0
54435,0
54434,0
54433,0
54432,0
54431,0
54430,0
54429,0
54428,0
54427,0
54426,0
54425,0
54424,0
54423,0
54422,0
54421,0
54420,0
54419,0
54418,0
54417,0
54416,0
54415,0
54414,0
54413,0
54412,0
54411,0
54410,0
54409,0
54408,0
54407,0
54406,0
54405,0
54404,0
54403,0
54402,0
54401,0
54400,0
54399,0
54398,0
54397,0
54396,0
54395,0
54394,0
54393,0
54392,0
54391,0
54390,0
54389,0
54388,0
54387,0
54386,0
54385,0
54384,0
54383,0
54382,0
54381,0
54380,0
54379,0
54378,0
54377,0
54376,0
54375,0
54374,0
54373,0
54372,0
54371,0
54370,0
54369,0
54368,0
54367,0
54366,0
54365,0
54364,0
54363,0
54362,0
54361,0
54360,0
54359,0
54358,0
54357,0
54356,0
54355,0
54354,0
54353,0
54352,0
