Assemblage_Layer,Min_Age,Max_Age,AgeBP,Age,Lithic_Piece_Count
Cables Layer 3 assemblage,30000,46000,-38000,38000,8653
GH 7 assemblage,30000,42000,-36000,36000,3706
GH 8 assemblage,34000,46000,-40000,40000,1789
GH 9 assemblage,36000,45000,-40500,40500,297
GH 10 assemblage,40000,59000,-49500,49500,386
,,17800,-17800,17800,13430
,,25000,-25000,25000,377
,,28000,-28000,28000,2562
,,29000,-29000,29000,3978
,,30500,-30500,30500,255
,,32000,-32000,32000,183
,,39775,-39775,39775,347
,,52200,-52200,52200,420
