Artifact Type,Artifact Volume,Age (ka),Error (ka),Reference
Artefacts >2 cm,820,21 - 35,±2 - 3,Blessing et al. (2023)
Débitage <2 cm,1742,21 - 35,±2 - 3,Blessing et al. (2023)
Blanks,356,21 - 29,±2 - 3,Blessing et al. (2023)
Cores,18,21 - 29,±2 - 3,Blessing et al. (2023)
Tools,3,21 - 29,±2 - 3,Blessing et al. (2023)
Blanks,240,29 and 32,± 3,Blessing et al. (2023)
Cores,10,29 and 32,± 3,Blessing et al. (2023)
Tools,5,29 and 32,± 3,Blessing et al. (2023)
Blanks,172,29 - 35,± 3,Blessing et al. (2023)
Cores,1,29 - 35,± 3,Blessing et al. (2023)
Tools,10,29 - 35,± 3,Blessing et al. (2023)
Artefacts >2 cm,2402,17.8,±1.5,Blessing et al. (2023)
Artefacts <2 cm,8626,17.8,±1.5,Blessing et al. (2023)
Blanks,2122,17.8,±1.5,Blessing et al. (2023)
Cores,88,17.8,±1.5,Blessing et al. (2023)
Formal Tools,34,17.8,±1.5,Blessing et al. (2023)
Other,158,17.8,±1.5,Blessing et al. (2023)
Blanks,3390,28.1 - 29.9,±2.2 - 2.3,Bader et al. (2018)
Chipped tools,274,28.1 - 29.9,±2.2 - 2.3,Bader et al. (2018)
Cores,25,28.1 - 29.9,±2.2 - 2.3,Bader et al. (2018)
Non-chipped tools,11,28.1 - 29.9,±2.2 - 2.3,Bader et al. (2018)
Debris,6,28.1 - 29.9,±2.2 - 2.3,Bader et al. (2018)
Broad points,44,28.1 - 29.9,±2.2 - 2.3,Bader et al. (2018)
Narrow points,51,28.1 - 29.9,±2.2 - 2.3,Bader et al. (2018)
Asymmetric convergent tools,14,28.1 - 29.9,±2.2 - 2.3,Bader et al. (2018)
Bifacial tear drops,12,28.1 - 29.9,±2.2 - 2.3,Bader et al. (2018)
Backed tools,13,28.1 - 29.9,±2.2 - 2.3,Bader et al. (2018)
Formal tools,52,28.1 - 29.9,±2.2 - 2.3,Bader et al. (2018)
Broken tools,69,28.1 - 29.9,±2.2 - 2.3,Bader et al. (2018)
Broken points,17,28.1 - 29.9,±2.2 - 2.3,Bader et al. (2018)
Flakes,268,40.1 - 39.45,± 0.23 - 0.7,Siemssen et al. (2025)
Blades,27,40.1 - 39.45,± 0.23 - 0.7,Siemssen et al. (2025)
Bladelets,12,40.1 - 39.45,± 0.23 - 0.7,Siemssen et al. (2025)
Cores,15,40.1 - 39.45,± 0.23 - 0.7,Siemssen et al. (2025)
Tools,25,40.1 - 39.45,± 0.23 - 0.7,Siemssen et al. (2025)
Blanks,394,Stratigraphically below Phase 9 (>52.2),N/A,Siemssen et al. (2025)
Cores,12,Stratigraphically below Phase 9 (>52.2),N/A,Siemssen et al. (2025)
Tools,14,Stratigraphically below Phase 9 (>52.2),N/A,Siemssen et al. (2025)
