Layer,Age (ka),Error (ka),Max Error Allowed,> 10%?,Reference
"GH 3 (Sample UBB5, Quartz)",17.8,1.5,1.78,N,Bader et al. (2018)
GH3 (Sample UBB5),21,2,2.1,N,Tribolo et al. (2024)
"GH 5 (Sample UBB8, Feldspar)",21,1.4,2.1,N,Bader et al. (2018)
"GH 5 (Sample UBB9, Feldspar)",22.7,1.8,2.27,N,Bader et al. (2018)
"GH 5 (Sample UBB9, Quartz)",24.9,2.3,2.49,N,Bader et al. (2018)
"GH 5 (Sample UBB8, Quartz)",27.2,2.3,2.72,N,Bader et al. (2018)
"GH 8 (Sample UBB2, Feldspar)",27.8,2.2,2.78,N,Bader et al. (2018)
"GH 7 (Sample UBB3, Quartz)",28.1,2.2,2.81,N,Bader et al. (2018)
"GH 7 (Sample UBB4, Feldspar)",28.9,1.8,2.89,N,Bader et al. (2018)
"GH 7 (Sample UBB4, Quartz)",29.9,2.3,2.99,N,Bader et al. (2018)
"GH 9 (Sample UBB1, Feldspar)",30.2,2.7,3.02,N,Bader et al. (2018)
"GH 8 (Sample UBB7, Quartz)",31.5,2.5,3.15,N,Bader et al. (2018)
"GH 8 (Sample UBB7, Feldspar)",31.8,2.4,3.18,N,Bader et al. (2018)
GH5 (Sample UBB8),32,3,3.2,N,Tribolo et al. (2024)
"GH 8 (Sample UBB2, Quartz)",32.2,2.6,3.22,N,Bader et al. (2018)
"GH 10 (Sample UBB6, Feldspar)",32.5,3,3.25,N,Bader et al. (2018)
"GH 9 (Sample UBB1, Quartz)",32.9,2.5,3.29,N,Bader et al. (2018)
GH7 (Sample UBB3),35,3,3.5,N,Tribolo et al. (2024)
GH8 (Sample UBB7),37,3,3.7,N,Tribolo et al. (2024)
GH8 (Sample UBB2),38,3,3.8,N,Tribolo et al. (2024)
GH7 (Sample UBB4),39,3,3.9,N,Tribolo et al. (2024)
GH9 (Sample UBB1),39,3,3.9,N,Tribolo et al. (2024)
"GH 10 (Sample UBB6, Quartz)",40.3,3.5,4.03,N,Bader et al. (2018)
P13,41.9,2.6,4.19,N,Lombard et al. (2010)
GH10 (Sample UBB6),47,4,4.7,N,Tribolo et al. (2024)
GH10 (Sample UBB10),54,5,5.4,N,Tribolo et al. (2024)
"RBS spit XX, layer 22 (Unexcavated)",60,3.5,6,N,Lombard et al. (2010)
"RBS spit XXIII, layer 25 (Unexcavated)",70.5,4.7,7.05,N,Lombard et al. (2010)
