Assemblage_Layer,Min_Age,Max_Age,AgeBP,Age,Lithic_Piece_Count
Layer 4,9090,9270,-9180,9180,22206
Layer 5,13280,13520,-13400,13400,16831
Layer 6,13280,28580,-20930,20930,17689
Layer 7,13280,28580,-20930,20930,18534
Layer 8,13280,28580,-20930,20930,21599
Layer 9,13280,28580,-20930,20930,21927
Layer 10,13280,28580,-20930,20930,18140
Layer 11,13280,28580,-20930,20930,19055
Layer 12,13280,28580,-20930,20930,22420
Layer 13,13280,28580,-20930,20930,30721
Layer 14,13280,28580,-20930,20930,52464
Layer 15,27020,28580,-27800,27800,53846
Layer 16,27020,31900,-29460,29460,42762
Layer 17,28300,31900,-30100,30100,39743
Layer 18,34270,36230,-35250,35250,67052
Layer 19,34270,44500,-39385,39385,70408
Layer 20,33400,44500,-38950,38950,38899
Layer 21,36240,50000,-43120,43120,17020
Layer 22,30800,63500,-47150,47150,27665
Layer 23,42000,48400,-45200,45200,89592
Layer 24,42000,75200,-58600,58600,110043
Layer 25,37100,75200,-56150,56150,88601
Layer 26,37100,77000,-57050,57050,69250
Layer 27,37100,77000,-57050,57050,43307
Layer 28,37100,77000,-57050,57050,22360
,,15000,-15000,15000,112263
,,27500,-27500,27500,126326
,,37000,-37000,37000,117
,,42000,-42000,42000,79
,,45000,-45000,45000,448818
,,71000,-71000,71000,46
,,72000,-72000,72000,115
