Artifact Type,Artifact Volume,Age (ka),Error,Reference
Analyzed Lithic Points: Levels 18–16,64,~40 - 34,N/A,Mohapi (2013)
Analyzed Lithic Points: Levels 23–19,28,~42,N/A,Mohapi (2013)
Analyzed Lithic Points: Levels 27–25 (Still Bay),64,~72,N/A,Mohapi (2013)
Hornfels Points (Levels 18–16),53,~40 - 34,N/A,Mohapi (2013)
Hornfels Points (Levels 23–19),12,~42,N/A,Mohapi (2013)
Quartzite Points (Levels 27–25),40,~72,N/A,Mohapi (2013)
Quartz Points (Levels 27–25),11,~72,N/A,Mohapi (2013)
Total Lithic Sequence (Layers 28-22: Pre-HP & Howiesons Poort),448818,Pre-45,N/A,Kaplan (1990)
Total Lithic Sequence (Layers 21-19: Late MSA),126326,~ 35 - 20,N/A,Kaplan (1990)
Total Lithic Sequence (Layers 13-9: Early Robberg),112263,~18 - 12,N/A,Kaplan (1990)
Total Lithic Sequence (Layers 8-5: Late Robberg),74653,<12,N/A,Kaplan (1990)
Total Whole Points (Levels 16-24),39,~42,N/A,Lombard et al. (2010)
Total Whole Points (Levels 25-27),46,~71,N/A,Lombard et al. (2010)
