Layer,Lab Sample,Age BP,Error,Max Error Allowed,>10% ?,Reference,,calBP,Probability (%),calBP,Probability (%),calBP,Probability (%),calBP,Probability (%),,oldestBP,youngestBP
Layer 2 (FBSA),Pta-4215,2840,60,284,N,Kaplan (1990),,3103 - 3098,0.3,3075 - 2761,95.1,,,,,,3103,2761
Layer 4 (OBSA),Pta-4307,9180,90,918,N,Kaplan (1990),,10575 - 10167,95.4,,,,,,,,10575,10167
Layer 5 (RBSA),Pta-4226,13400,120,1340,N,Kaplan (1990),,16444 - 15716,95.4,,,,,,,,16444,15716
Layer 9 (RBS V),Pta-4631,9870,90,987,N,Kaplan (1990),,11706 - 11695,0.3,11685 - 11674,0.3,11635 - 11072,91.8,10945 - 10875,3,,11706,10875
Layer 15 (PBS III),Pta-4389,27800,780,2780,N,Kaplan (1990),,34156 - 30736,95.2,30526 - 30491,0.2,,,,,,34156,30491
Layer 17 (RBS XIII),Pta-4228,30100,1800,3010,N,Kaplan (1990),,39921 - 31149,95.4,,,,,,,,39921,31147
Layer 18 (RBS XIV),Pta-4331,35100,830,3510,N,Kaplan (1990),,41918 - 38412,95.4,,,,,,,,41918,38412
Layer 18 (PBS VI),Pta-4663,35300,930,3530,N,Kaplan (1990),,42110 - 38497,95.4,,,,,,,,42110,38497
Layer 20 (RBS XVI),Pta-4288,34400,1000,3440,N,Kaplan (1990),,41455 - 36981,95.4,,,,,,,,41455,36981
Layer 20 (RBS XVI),Pta-4235,35000,1600,3500,N,Kaplan (1990),,42592 - 36563,95.4,,,,,,,,42592,36563
Layer 20 (RBS XVI),Pta-4366,37100,1100,3710,N,Kaplan (1990),,43060 - 39982,95.4,,,,,,,,43060,39982
Layer 20 (RBS XVI),Pta-4333,40600,1500,4060,N,Kaplan (1990),,47105 - 42193,95.4,,,,,,,,47105,42193
Layer 20 (PBS VIII),Pta-4665,38200,1100,3820,N,Kaplan (1990),,44190 - 41145,95.4,,,,,,,,44190,41145
Layer 21 (PBS IX),Pta-4666,37100,860,3710,N,Kaplan (1990),,42680 - 40606,95.4,,,,,,,,42680,40606
Layer 23 (PBS XI),Pta-4234,45200,3200,4520,N,Kaplan (1990),,… - 44687,95.4,,,,,,,,,44687
