"calBP","PrDens"
55000,1.46830138057616e-05
54999,1.469398996776e-05
54998,1.47049762175937e-05
54997,1.47159725650254e-05
54996,1.47269790198264e-05
54995,1.47379955917769e-05
54994,1.47490222906658e-05
54993,1.47600591262907e-05
54992,1.47711061084581e-05
54991,1.47821632469836e-05
54990,1.47932305516912e-05
54989,1.48043080324137e-05
54988,1.48153956989931e-05
54987,1.48264935612798e-05
54986,1.48376016291335e-05
54985,1.48487199124224e-05
54984,1.48598484210235e-05
54983,1.48709871648229e-05
54982,1.48821361537153e-05
54981,1.48932953976046e-05
54980,1.49044649064033e-05
54979,1.49166091135189e-05
54978,1.4928764270517e-05
54977,1.49409303872284e-05
54976,1.49531074734916e-05
54975,1.49652955391527e-05
54974,1.49774945940654e-05
54973,1.49897046480908e-05
54972,1.5001925711098e-05
54971,1.50141577929635e-05
54970,1.50264009035715e-05
54969,1.50386550528137e-05
54968,1.50509202505897e-05
54967,1.50631965068062e-05
54966,1.50754838313784e-05
54965,1.50877822342283e-05
54964,1.5100091725286e-05
54963,1.51124123144892e-05
54962,1.51247440117829e-05
54961,1.51370868271204e-05
54960,1.51494407704621e-05
54959,1.51608343428954e-05
54958,1.5172238399597e-05
54957,1.51836529506783e-05
54956,1.51950780062597e-05
54955,1.52065135764704e-05
54954,1.52179596714486e-05
54953,1.52294163013416e-05
54952,1.52408834763056e-05
54951,1.52523612065061e-05
54950,1.52638495021172e-05
54949,1.52753483733221e-05
54948,1.52868578303133e-05
54947,1.52983778832919e-05
54946,1.53099085424685e-05
54945,1.53214498180624e-05
54944,1.5333001720302e-05
54943,1.53445642594248e-05
54942,1.53561374456771e-05
54941,1.53677212893149e-05
54940,1.53793158006026e-05
54939,1.5391898684587e-05
54938,1.54044929185246e-05
54937,1.54170985125592e-05
54936,1.54297154768432e-05
54935,1.54423438215357e-05
54934,1.54549835568043e-05
54933,1.54676346928239e-05
54932,1.54802972397771e-05
54931,1.54929712078548e-05
54930,1.5505656607255e-05
54929,1.55183534481837e-05
54928,1.55310617408546e-05
54927,1.5543781495489e-05
54926,1.55565127223166e-05
54925,1.5569255431574e-05
54924,1.5582009633506e-05
54923,1.55947753383651e-05
54922,1.56075525564113e-05
54921,1.5620341297913e-05
54920,1.56331415731457e-05
54919,1.56449677820038e-05
54918,1.56568041152018e-05
54917,1.56686505814542e-05
54916,1.56805071894818e-05
54915,1.56923739480119e-05
54914,1.57042508657786e-05
54913,1.57161379515224e-05
54912,1.57280352139902e-05
54911,1.57399426619354e-05
54910,1.5751860304118e-05
54909,1.57637881493047e-05
54908,1.57757262062684e-05
54907,1.57876744837888e-05
54906,1.5799632990652e-05
54905,1.58116017356505e-05
54904,1.58235807275836e-05
54903,1.58355699752571e-05
54902,1.58475694874834e-05
54901,1.58595792730809e-05
54900,1.58715993408753e-05
54899,1.58836296996984e-05
54898,1.58956703583886e-05
54897,1.59077213257912e-05
54896,1.59197826107573e-05
54895,1.59318542221453e-05
54894,1.59439361688199e-05
54893,1.59560284596522e-05
54892,1.59681311035202e-05
54891,1.59802441093081e-05
54890,1.59923674859068e-05
54889,1.60045012422139e-05
54888,1.60166453871334e-05
