Site,longitude,latitude,Start_Year,Biome,End_Year
Border Cave,31.989,-27.021,-50000,Temperate conifer forest,-48000
Border Cave,31.989,-27.021,-48000,Temperate sclerophyll woodland,-46000
Border Cave,31.989,-27.021,-46000,Temperate sclerophyll woodland,-44000
Border Cave,31.989,-27.021,-44000,Temperate sclerophyll woodland,-42000
Border Cave,31.989,-27.021,-42000,Temperate sclerophyll woodland,-40000
Border Cave,31.989,-27.021,-40000,Temperate sclerophyll woodland,-38000
Border Cave,31.989,-27.021,-38000,Temperate conifer forest,-36000
Border Cave,31.989,-27.021,-36000,Temperate conifer forest,-34000
Border Cave,31.989,-27.021,-34000,Temperate conifer forest,-32000
Border Cave,31.989,-27.021,-32000,Temperate conifer forest,-30000
Border Cave,31.989,-27.021,-30000,Temperate conifer forest,-28000
Border Cave,31.989,-27.021,-28000,Temperate sclerophyll woodland,-26000
Border Cave,31.989,-27.021,-26000,Temperate sclerophyll woodland,-24000
Border Cave,31.989,-27.021,-24000,Temperate sclerophyll woodland,-22000
Border Cave,31.989,-27.021,-22000,Temperate sclerophyll woodland,-21000
Border Cave,31.989,-27.021,-21000,Temperate sclerophyll woodland,-20000
Border Cave,31.989,-27.021,-20000,Temperate sclerophyll woodland,-19000
Holley Shelter,30.539,-29.464,-50000,Warm mixed forest,-48000
Holley Shelter,30.539,-29.464,-48000,Warm mixed forest,-46000
Holley Shelter,30.539,-29.464,-46000,Warm mixed forest,-44000
Holley Shelter,30.539,-29.464,-44000,Warm mixed forest,-42000
Holley Shelter,30.539,-29.464,-42000,Warm mixed forest,-40000
Holley Shelter,30.539,-29.464,-40000,Warm mixed forest,-38000
Holley Shelter,30.539,-29.464,-38000,Warm mixed forest,-36000
Holley Shelter,30.539,-29.464,-36000,Warm mixed forest,-34000
Holley Shelter,30.539,-29.464,-34000,Warm mixed forest,-32000
Holley Shelter,30.539,-29.464,-32000,Warm mixed forest,-30000
Holley Shelter,30.539,-29.464,-30000,Warm mixed forest,-28000
Holley Shelter,30.539,-29.464,-28000,Warm mixed forest,-26000
Holley Shelter,30.539,-29.464,-26000,Warm mixed forest,-24000
Holley Shelter,30.539,-29.464,-24000,Warm mixed forest,-22000
Holley Shelter,30.539,-29.464,-22000,Warm mixed forest,-21000
Holley Shelter,30.539,-29.464,-21000,Warm mixed forest,-20000
Holley Shelter,30.539,-29.464,-20000,Warm mixed forest,-19000
Sibudu Cave,31.086,-29.5231,-50000,Temperate conifer forest,-48000
Sibudu Cave,31.086,-29.5231,-48000,Temperate conifer forest,-46000
Sibudu Cave,31.086,-29.5231,-46000,Temperate conifer forest,-44000
Sibudu Cave,31.086,-29.5231,-44000,Temperate conifer forest,-42000
Sibudu Cave,31.086,-29.5231,-42000,Temperate conifer forest,-40000
Sibudu Cave,31.086,-29.5231,-40000,Temperate conifer forest,-38000
Sibudu Cave,31.086,-29.5231,-38000,Temperate conifer forest,-36000
Sibudu Cave,31.086,-29.5231,-36000,Temperate conifer forest,-34000
Sibudu Cave,31.086,-29.5231,-34000,Temperate conifer forest,-32000
Sibudu Cave,31.086,-29.5231,-32000,Temperate conifer forest,-30000
Sibudu Cave,31.086,-29.5231,-30000,Temperate conifer forest,-28000
Sibudu Cave,31.086,-29.5231,-28000,Temperate conifer forest,-26000
Sibudu Cave,31.086,-29.5231,-26000,Temperate conifer forest,-24000
Sibudu Cave,31.086,-29.5231,-24000,Temperate conifer forest,-22000
Sibudu Cave,31.086,-29.5231,-22000,Temperate conifer forest,-21000
Sibudu Cave,31.086,-29.5231,-21000,Temperate conifer forest,-20000
Sibudu Cave,31.086,-29.5231,-20000,Temperate conifer forest,-19000
Umbeli Belli,30.686,-30.311,-50000,Temperate conifer forest,-48000
Umbeli Belli,30.686,-30.311,-48000,Temperate conifer forest,-46000
Umbeli Belli,30.686,-30.311,-46000,Temperate conifer forest,-44000
Umbeli Belli,30.686,-30.311,-44000,Temperate conifer forest,-42000
Umbeli Belli,30.686,-30.311,-42000,Temperate conifer forest,-40000
Umbeli Belli,30.686,-30.311,-40000,Temperate conifer forest,-38000
Umbeli Belli,30.686,-30.311,-38000,Temperate conifer forest,-36000
Umbeli Belli,30.686,-30.311,-36000,Temperate conifer forest,-34000
Umbeli Belli,30.686,-30.311,-34000,Temperate conifer forest,-32000
Umbeli Belli,30.686,-30.311,-32000,Temperate conifer forest,-30000
Umbeli Belli,30.686,-30.311,-30000,Temperate conifer forest,-28000
Umbeli Belli,30.686,-30.311,-28000,Temperate conifer forest,-26000
Umbeli Belli,30.686,-30.311,-26000,Temperate conifer forest,-24000
Umbeli Belli,30.686,-30.311,-24000,Temperate conifer forest,-22000
Umbeli Belli,30.686,-30.311,-22000,Temperate conifer forest,-21000
Umbeli Belli,30.686,-30.311,-21000,Temperate conifer forest,-20000
Umbeli Belli,30.686,-30.311,-20000,Temperate conifer forest,-19000
Umhlatuzana,30.754,-29.81,-50000,Warm mixed forest,-48000
Umhlatuzana,30.754,-29.81,-48000,Warm mixed forest,-46000
Umhlatuzana,30.754,-29.81,-46000,Warm mixed forest,-44000
Umhlatuzana,30.754,-29.81,-44000,Warm mixed forest,-42000
Umhlatuzana,30.754,-29.81,-42000,Warm mixed forest,-40000
Umhlatuzana,30.754,-29.81,-40000,Temperate conifer forest,-38000
Umhlatuzana,30.754,-29.81,-38000,Temperate conifer forest,-36000
Umhlatuzana,30.754,-29.81,-36000,Temperate conifer forest,-34000
Umhlatuzana,30.754,-29.81,-34000,Temperate conifer forest,-32000
Umhlatuzana,30.754,-29.81,-32000,Temperate conifer forest,-30000
Umhlatuzana,30.754,-29.81,-30000,Temperate conifer forest,-28000
Umhlatuzana,30.754,-29.81,-28000,Warm mixed forest,-26000
Umhlatuzana,30.754,-29.81,-26000,Warm mixed forest,-24000
Umhlatuzana,30.754,-29.81,-24000,Warm mixed forest,-22000
Umhlatuzana,30.754,-29.81,-22000,Warm mixed forest,-21000
Umhlatuzana,30.754,-29.81,-21000,Temperate sclerophyll woodland,-20000
Umhlatuzana,30.754,-29.81,-20000,Warm mixed forest,-19000
