Assemblage_Layer,Min_Age_ka,Max_Age_ka,AgeBP,Lithic_Piece_Count,Site
Layer 1 BS LR B+C,31,41.2,-36100,722,Border Cave
Layer 1 GBS LR,75,79,-77000,4232,Border Cave
Layer 1 GBS UP,75,79,-77000,2753,Border Cave
Layer 1 RGBS,70,78,-74000,6276,Border Cave
Layer 1 WA,33,47.75,-40375,4729,Border Cave
Layer 2 BS LR A+B,24.79,55.38,-40085,406,Border Cave
Layer 2 BS UP,35,51.4,-43200,369,Border Cave
Layer 2 WA,44.29,63,-53645,780,Border Cave
Layer 3 BS UP+LR,48.7,76,-62350,1882,Border Cave
Layer 3 WA,39,66,-52500,604,Border Cave
Layer BACO A,133,300,-216500,1098,Border Cave
Layer BACO B,133,300,-216500,5444,Border Cave
Layer BACO C,133,300,-216500,7936,Border Cave
Layer BACO D,133,300,-216500,2794,Border Cave
,,,-24000,4,Border Cave
,,,-38000,2498,Border Cave
,,,-41000,1,Border Cave
,,,-42000,19,Border Cave
,,,-42500,1,Border Cave
,,,-43000,6,Border Cave
,,,-60000,1,Border Cave
,,,-62000,1,Border Cave
,,,-74000,1,Border Cave
,,,-152500,284,Border Cave
,,,-155000,186,Border Cave
Inch 0-6,30000,50000,-40000,388,Holley Shelter
Inch 6-12,30000,58000,-44000,581,Holley Shelter
Inch 12-18,30000,58000,-44000,378,Holley Shelter
Inch 18-24,30000,58000,-44000,256,Holley Shelter
,,,-35000,3979,Holley Shelter
,,,-43000,5980,Holley Shelter
Bu,35000,41600,-38300,6664,Sibudu Cave
Co,35400,40600,-38000,4689,Sibudu Cave
DMou,48600,51700,-50150,539,Sibudu Cave
Es,48600,51700,-50150,703,Sibudu Cave
LBMOD,48600,52200,-50400,12381,Sibudu Cave
MC (hearth),48600,51700,-50150,6303,Sibudu Cave
Mou,48600,51700,-50150,769,Sibudu Cave
RSp,44100,50100,-47100,1548,Sibudu Cave
,,26000,-26000,109,Sibudu Cave
,,28880,-28880,11,Sibudu Cave
,,30600,-30600,1,Sibudu Cave
,,34700,-34700,1,Sibudu Cave
,,37000,-37000,20,Sibudu Cave
,,37650,-37650,29311,Sibudu Cave
,,38000,-38000,75430,Sibudu Cave
,,38500,-38500,303,Sibudu Cave
,,43700,-43700,15,Sibudu Cave
,,44300,-44300,20,Sibudu Cave
,,46000,-46000,16,Sibudu Cave
,,46600,-46600,36,Sibudu Cave
,,48000,-48000,2282,Sibudu Cave
,,48250,-48250,141,Sibudu Cave
,,48400,-48400,344,Sibudu Cave
,,48500,-48500,1640,Sibudu Cave
,,49000,-49000,15,Sibudu Cave
,,49400,-49400,193,Sibudu Cave
,,50000,-50000,476,Sibudu Cave
,,53400,-53400,2259,Sibudu Cave
,,55000,-55000,24,Sibudu Cave
,,56650,-56650,74,Sibudu Cave
,,56700,-56700,1,Sibudu Cave
,,57000,-57000,246,Sibudu Cave
,,57500,-57500,9000,Sibudu Cave
,,57600,-57600,5,Sibudu Cave
,,57800,-57800,13907,Sibudu Cave
,,58000,-58000,291805.462,Sibudu Cave
,,58200,-58200,4286,Sibudu Cave
,,58300,-58300,414,Sibudu Cave
,,58500,-58500,177483,Sibudu Cave
,,59000,-59000,1933,Sibudu Cave
,,59600,-59600,10254,Sibudu Cave
,,60000,-60000,155,Sibudu Cave
,,60100,-60100,121468,Sibudu Cave
,,61000,-61000,3,Sibudu Cave
,,61700,-61700,9149,Sibudu Cave
,,62500,-62500,97413,Sibudu Cave
,,62750,-62750,161,Sibudu Cave
,,63000,-63000,106996,Sibudu Cave
,,63200,-63200,105045,Sibudu Cave
,,63500,-63500,8048,Sibudu Cave
,,63800,-63800,15582,Sibudu Cave
,,64000,-64000,67,Sibudu Cave
,,64700,-64700,520,Sibudu Cave
,,70000,-70000,4078,Sibudu Cave
,,70500,-70500,4045,Sibudu Cave
,,71000,-71000,10,Sibudu Cave
,,71500,-71500,5,Sibudu Cave
,,72500,-72500,1012,Sibudu Cave
,,72850,-72850,1167,Sibudu Cave
,,73200,-73200,1559,Sibudu Cave
,,73500,-73500,48,Sibudu Cave
,,74850,-74850,25,Sibudu Cave
,,75000,-75000,3,Sibudu Cave
,,77000,-77000,92,Sibudu Cave
,,77200,-77200,2491,Sibudu Cave
,,77300,-77300,14,Sibudu Cave
Cables Layer 3 assemblage,30000,46000,-38000,8653,Umbeli Belli
GH 7 assemblage,30000,42000,-36000,3706,Umbeli Belli
GH 8 assemblage,34000,46000,-40000,1789,Umbeli Belli
GH 9 assemblage,36000,45000,-40500,297,Umbeli Belli
GH 10 assemblage,40000,59000,-49500,386,Umbeli Belli
,,17800,-17800,13430,Umbeli Belli
,,25000,-25000,377,Umbeli Belli
,,28000,-28000,2562,Umbeli Belli
,,29000,-29000,3978,Umbeli Belli
,,30500,-30500,255,Umbeli Belli
,,32000,-32000,183,Umbeli Belli
,,39775,-39775,347,Umbeli Belli
,,52200,-52200,420,Umbeli Belli
Layer 4,9090,9270,-9180,22206,Umhlatuzana
Layer 5,13280,13520,-13400,16831,Umhlatuzana
Layer 6,13280,28580,-20930,17689,Umhlatuzana
