Variable,Dim.1,Dim.2,X1,Y1,Magnitude
bio04,9.41,0.98,0,0,9.460893193
bio07,9.09,0.76,0,0,9.121715847
bio16,7.92,1.46,0,0,8.053446467
bio15,7.88,3.86,0,0,8.774622499
bio18,7.41,0.31,0,0,7.416481646
bio13,6.97,0.43,0,0,6.983251392
bio11,6.64,6.32,0,0,9.166896967
bio08,6.56,2.31,0,0,6.954832852
bio05,5.85,5.92,0,0,8.322794002
bio10,5.53,6.63,0,0,8.633527668
bio14,5.36,0.19,0,0,5.36336648
bio09,4.85,7.75,0,0,9.142483251
bio06,4.6,9.73,0,0,10.7625694
bio19,4.01,8.58,0,0,9.470823618
bio17,3.17,6.77,0,0,7.475413032
npp,2.85,11.1,0,0,11.46003927
bio12,1.39,10.5,0,0,10.59160517
bio01,0.51,16.38,0,0,16.38793764
