Variable,Dim.1,Dim.2,X1,Y1,Magnitude
bio04,11.85,0,0,0,11.85
bio07,11.2,0.08,0,0,11.20028571
bio11,9.51,2.21,0,0,9.763411289
bio09,8.5,1.15,0,0,8.577441343
bio05,7.95,4.31,0,0,9.043152105
bio08,7.46,3.44,0,0,8.214937614
bio15,7,2.86,0,0,7.561719381
bio10,6.95,5.63,0,0,8.944238369
bio06,6.59,5.14,0,0,8.357493643
bio18,5.62,0.66,0,0,5.65862174
npp,5.24,3.33,0,0,6.208582769
bio16,4.19,8.35,0,0,9.342301644
bio14,3.87,4.97,0,0,6.299031672
bio13,1.57,9.23,0,0,9.362574432
bio17,1.2,13.54,0,0,13.59307176
bio01,0.74,12.27,0,0,12.29229433
bio19,0.49,13.16,0,0,13.16911918
bio12,0.08,9.66,0,0,9.660331257
