Variable,Dim.1,Dim.2,X1,Y1,Magnitude
bio04,10.81,1.04,0,0,10.85991252
bio07,10.13,1.3,0,0,10.21307495
bio05,9.12,2.75,0,0,9.525591845
bio15,8.62,1.17,0,0,8.699040177
bio10,8.59,3.67,0,0,9.34114554
bio08,8.1,2.77,0,0,8.560543207
bio09,7.49,4.58,0,0,8.779322297
bio11,7.25,5.99,0,0,9.404392591
bio14,6.66,1.2,0,0,6.767244639
bio17,4.77,9.8,0,0,10.89921557
bio06,4.32,9.6,0,0,10.52722186
bio19,3.37,10.4,0,0,10.93237852
bio16,3.09,10.46,0,0,10.90686481
npp,3.07,0,0,0,3.07
bio18,2.93,1.49,0,0,3.287095983
bio12,0.92,9.53,0,0,9.574304152
bio13,0.68,8.7,0,0,8.726534249
bio01,0.06,15.55,0,0,15.55011576
