calBP,PrDens,PrDens_Taphonomic,Site
50000,0.00037842,0.000243695,Border Cave
49999,0.000378575,0.000243788,Border Cave
49998,0.00037873,0.000243882,Border Cave
49997,0.000378885,0.000243975,Border Cave
49996,0.00037904,0.000244068,Border Cave
49995,0.000379194,0.000244161,Border Cave
49994,0.000379349,0.000244254,Border Cave
49993,0.000379504,0.000244348,Border Cave
49992,0.000379659,0.000244441,Border Cave
49991,0.000379814,0.000244534,Border Cave
49990,0.000379969,0.000244627,Border Cave
49989,0.000380124,0.00024472,Border Cave
49988,0.000380279,0.000244814,Border Cave
49987,0.000380434,0.000244907,Border Cave
49986,0.000380588,0.000245,Border Cave
49985,0.000380743,0.000245093,Border Cave
49984,0.000380898,0.000245186,Border Cave
49983,0.000381053,0.00024528,Border Cave
49982,0.000381208,0.000245373,Border Cave
49981,0.000381363,0.000245466,Border Cave
49980,0.000381518,0.000245559,Border Cave
49979,0.000381685,0.00024566,Border Cave
49978,0.000381851,0.00024576,Border Cave
49977,0.000382018,0.000245861,Border Cave
49976,0.000382184,0.000245962,Border Cave
49975,0.000382351,0.000246062,Border Cave
49974,0.000382517,0.000246163,Border Cave
49973,0.000382684,0.000246263,Border Cave
49972,0.000382851,0.000246364,Border Cave
49971,0.000383017,0.000246465,Border Cave
49970,0.000383184,0.000246565,Border Cave
49969,0.00038335,0.000246666,Border Cave
49968,0.000383517,0.000246767,Border Cave
49967,0.000383684,0.000246867,Border Cave
49966,0.00038385,0.000246968,Border Cave
49965,0.000384017,0.000247068,Border Cave
49964,0.000384183,0.000247169,Border Cave
49963,0.00038435,0.00024727,Border Cave
49962,0.000384517,0.00024737,Border Cave
49961,0.000384683,0.000247471,Border Cave
49960,0.00038485,0.000247571,Border Cave
49959,0.000385017,0.000247672,Border Cave
49958,0.000385183,0.000247773,Border Cave
49957,0.00038535,0.000247873,Border Cave
49956,0.000385517,0.000247974,Border Cave
49955,0.000385684,0.000248075,Border Cave
49954,0.00038585,0.000248175,Border Cave
49953,0.000386017,0.000248276,Border Cave
49952,0.000386184,0.000248376,Border Cave
49951,0.000386351,0.000248477,Border Cave
49950,0.000386517,0.000248578,Border Cave
49949,0.000386684,0.000248678,Border Cave
49948,0.000386851,0.000248779,Border Cave
49947,0.000387017,0.000248879,Border Cave
49946,0.000387184,0.00024898,Border Cave
49945,0.000387351,0.00024908,Border Cave
49944,0.000387518,0.000249181,Border Cave
49943,0.000387684,0.000249282,Border Cave
49942,0.000387851,0.000249382,Border Cave
49941,0.000388018,0.000249483,Border Cave
49940,0.000388185,0.000249583,Border Cave
49939,0.000388346,0.00024968,Border Cave
49938,0.000388507,0.000249777,Border Cave
49937,0.000388668,0.000249874,Border Cave
49936,0.000388829,0.000249971,Border Cave
49935,0.00038899,0.000250068,Border Cave
49934,0.000389151,0.000250164,Border Cave
49933,0.000389312,0.000250261,Border Cave
49932,0.000389473,0.000250358,Border Cave
49931,0.000389634,0.000250455,Border Cave
49930,0.000389795,0.000250552,Border Cave
49929,0.000389956,0.000250648,Border Cave
49928,0.000390117,0.000250745,Border Cave
49927,0.000390278,0.000250842,Border Cave
49926,0.000390439,0.000250939,Border Cave
49925,0.0003906,0.000251036,Border Cave
49924,0.000390761,0.000251132,Border Cave
49923,0.000390922,0.000251229,Border Cave
49922,0.000391083,0.000251326,Border Cave
49921,0.000391244,0.000251423,Border Cave
49920,0.000391405,0.000251519,Border Cave
49919,0.000391561,0.000251613,Border Cave
49918,0.000391716,0.000251706,Border Cave
49917,0.000391871,0.000251799,Border Cave
49916,0.000392026,0.000251892,Border Cave
49915,0.000392182,0.000251985,Border Cave
49914,0.000392337,0.000252078,Border Cave
49913,0.000392492,0.000252171,Border Cave
49912,0.000392647,0.000252264,Border Cave
49911,0.000392803,0.000252357,Border Cave
49910,0.000392958,0.00025245,Border Cave
49909,0.000393113,0.000252543,Border Cave
49908,0.000393268,0.000252636,Border Cave
49907,0.000393424,0.000252729,Border Cave
49906,0.000393579,0.000252822,Border Cave
49905,0.000393734,0.000252915,Border Cave
49904,0.000393889,0.000253008,Border Cave
49903,0.000394045,0.000253101,Border Cave
49902,0.0003942,0.000253194,Border Cave
49901,0.000394355,0.000253287,Border Cave
49900,0.00039451,0.000253379,Border Cave
49899,0.000394666,0.000253472,Border Cave
49898,0.000394821,0.000253565,Border Cave
49897,0.000394976,0.000253658,Border Cave
49896,0.000395131,0.000253751,Border Cave
49895,0.000395287,0.000253844,Border Cave
49894,0.000395442,0.000253937,Border Cave
49893,0.000395597,0.00025403,Border Cave
49892,0.000395752,0.000254123,Border Cave
49891,0.000395907,0.000254215,Border Cave
49890,0.000396062,0.000254308,Border Cave
49889,0.000396218,0.000254401,Border Cave
49888,0.000396373,0.000254494,Border Cave
49887,0.000396528,0.000254587,Border Cave
49886,0.000396683,0.00025468,Border Cave
49885,0.000396838,0.000254772,Border Cave
49884,0.000396993,0.000254865,Border Cave
49883,0.000397149,0.000254958,Border Cave
49882,0.000397304,0.000255051,Border Cave
49881,0.000397459,0.000255143,Border Cave
49880,0.000397614,0.000255236,Border Cave
49879,0.000397769,0.000255329,Border Cave
49878,0.000397924,0.000255422,Border Cave
49877,0.000398079,0.000255515,Border Cave
49876,0.000398235,0.000255607,Border Cave
49875,0.00039839,0.0002557,Border Cave
