"Site","Variable","Dating_Method","Spearman_Rho","P_Value","Max_CCF","Lag_Bins"
"Border Cave","bio01","C14_SPD",0.598534939455419,0.0143048152513062,-0.281566820507981,5
"Border Cave","bio12","C14_SPD",-0.177782655283788,0.510072637611894,0.415462245109412,5
"Border Cave","npp","C14_SPD",-0.0348670828727891,0.897996358438435,0.397087889622375,5
"Holley Shelter","bio01","C14_SPD",0.342184379639596,0.194529191119844,-0.375623400139103,5
"Holley Shelter","bio12","C14_SPD",-0.303836130197227,0.252596455740382,0.471019110200567,5
"Holley Shelter","npp","C14_SPD",0.300886264855507,0.257463104889,-0.317019235703697,5
"Sibudu Cave","bio01","C14_SPD",-0.391088339287378,0.134166726877367,-0.440725082051292,-1
"Sibudu Cave","bio01","OSL_KDE",0.216783216783217,0.498555985524188,-0.417826667860135,3
"Sibudu Cave","bio12","C14_SPD",-0.0656789577429185,0.80903979530233,0.591399391965626,2
"Sibudu Cave","bio12","OSL_KDE",-0.601398601398601,0.0385884529220194,0.342092612471438,5
"Sibudu Cave","npp","C14_SPD",0.128372508315704,0.635638617795051,-0.443185651297892,5
"Sibudu Cave","npp","OSL_KDE",-0.237762237762238,0.456800852639923,-0.280583825837452,2
"Umbeli Belli","bio01","C14_SPD",0.386859966246396,0.13880071298207,-0.239482434537137,5
"Umbeli Belli","bio01","OSL_KDE",-0.46015037593985,0.0412007178019545,-0.786001896528127,3
"Umbeli Belli","bio12","C14_SPD",-0.466688213249621,0.0684026897866901,0.162097447393293,5
"Umbeli Belli","bio12","OSL_KDE",0.514285714285714,0.0203461282869807,0.649068339818633,2
"Umbeli Belli","npp","C14_SPD",0.171937762776176,0.524299496378892,-0.183045807064885,-2
"Umbeli Belli","npp","OSL_KDE",-0.130827067669173,0.582473090196989,-0.514884589210066,5
"Umhlatuzana","bio01","C14_SPD",0.570212769495338,0.0210945139895812,-0.29356617605011,5
"Umhlatuzana","bio01","OSL_KDE",0.0424242424242424,0.907363817812816,-0.195109654609327,5
"Umhlatuzana","bio12","C14_SPD",-0.570212769495338,0.0210945139895812,0.290418932213142,5
"Umhlatuzana","bio12","OSL_KDE",-0.151515151515151,0.676065175997854,0.247396645421799,5
"Umhlatuzana","npp","C14_SPD",-0.256745016631409,0.337107140531878,-0.449118640681549,1
"Umhlatuzana","npp","OSL_KDE",0.660606060606061,0.0375883775714093,-0.411187599714128,3
